name,size,images,current_price,rating,num_reviews,comfort,best for,mattress type,height,Cooling TechYeslogy,Motion Separation,Pressure Relief,Support,Adjustable Base Friendly,Breathable,Mattress in a Box,ProductID
Zinus Green Tea 12” Cushioned Firm Memory Foam Mattress,"[“Twin”, “Full”,“Queen”, “King”, “Cal King”]","['images/Zinus_Green_Tea_12”_Cushioned_Firm_Memory_Foam__Mattress/image_1.jpg', 'images/Zinus_Green_Tea_12”_Cushioned_Firm_Memory_Foam__Mattress/image_2.jpg', 'images/Zinus_Green_Tea_12”_Cushioned_Firm_Memory_Foam__Mattress/image_3.jpg']","[$ 279.99, $ 369.99, $ 429.99, $ 519.99, $ 519.99]",4.2,1067,Firm,Back and Stomach Sleepers,Memory Foam,"12""",No,No,Yes,Yes,Yes,Yes,Yes,75
Sleepy's By Sealy® Slumber Cushion Firm Mattress,"[“Twin”, “Twin XL”, “Full”,“Queen”, “King”]","['images/Sleepys_By_Sealy®_Slumber_Cushion_Firm_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy®_Slumber_Cushion_Firm_Mattress/image_2.jpg', 'images/Sleepys_By_Sealy®_Slumber_Cushion_Firm_Mattress/image_3.jpg']","[$ 449.99, $ 479.99, $ 529.99, $ 579.99, $ 699.99]",4.4,170,Medium,"Side, Stomach and Back Sleepers",Innerspring,"10.5""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,76
Zinus Green Tea 10” Cushioned Firm Memory Foam Mattress,"[“Twin”, “Full”,,“Queen”, “King”]","['images/Zinus_Green_Tea_10”_Cushioned_Firm_Memory_Foam__Mattress/image_1.jpg', 'images/Zinus_Green_Tea_10”_Cushioned_Firm_Memory_Foam__Mattress/image_2.jpg', 'images/Zinus_Green_Tea_10”_Cushioned_Firm_Memory_Foam__Mattress/image_3.jpg']","[$ 249.99, $ 319.99, $ 369.99, $ 449.99]",4.3,1049,Firm,Back and Stomach Sleepers,Memory Foam,"10""",No,No,Yes,Yes,Yes,Yes,Yes,77
Zinus Green Tea 8” Cushioned Firm Memory Foam Mattress,"[“Twin”, “Full”,“Queen”, “King”, “RV Short Queen”]","['images/Zinus_Green_Tea_8”_Cushioned_Firm_Memory_Foam__Mattress/image_1.jpg', 'images/Zinus_Green_Tea_8”_Cushioned_Firm_Memory_Foam__Mattress/image_2.jpg', 'images/Zinus_Green_Tea_8”_Cushioned_Firm_Memory_Foam__Mattress/image_3.jpg']","[$ 209.99, $ 269.99, $ 309.99, $ 379.99, $ 299.99]",N/A,N/A,Firm,Back and Stomach Sleepers,Memory Foam,"8""",No,No,Yes,Yes,Yes,Yes,Yes,78
"Beautyrest Black® Series One 13.5"" Extra Firm Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Beautyrest_Black®_Series_One_13.5_Extra_Firm_Mattress/image_1.jpg', 'images/Beautyrest_Black®_Series_One_13.5_Extra_Firm_Mattress/image_2.jpg']","[$ 1549.99, $ 1829.99, $ 1999.99, $ 2599.99, $ 2599.99, $ 1549.99]",N/A,N/A,Extra Firm,"Back and Stomach Sleepers, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,79
"Sealy Posturepedic® Plus Opportune II 13"" Plush Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Plus_Opportune_II_13_Plush_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Plus_Opportune_II_13_Plush_Mattress/image_2.jpg', 'images/Sealy_Posturepedic®_Plus_Opportune_II_13_Plush_Mattress/image_3.jpg']","[$ 574.99, $ 624.99, $ 674.99, $ 699.99, $ 874.99, $ 874.99, $ 624.99]",3.8,65,Plush,Side Sleepers,Innerspring,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,80
"Stearns & Foster Estate® 15"" Firm Euro Pillow Top Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Stearns_&_Foster_Estate®_15_Firm_Euro_Pillow_Top_Mattress/image_1.jpg', 'images/Stearns_&_Foster_Estate®_15_Firm_Euro_Pillow_Top_Mattress/image_2.jpg']","[$ 2499.99, $ 2549.99, $ 2599.99, $ 3199.99, $ 3199.99, $ 2499.99]",4.3,1321,Firm,Back and Stomach Sleepers,Innerspring,"15""",Yes,Yes,Yes,Yes,Yes,Yes,No,81
"Purple RestorePlus™ Cool Touch 13"" Hybrid Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Purple_RestorePlus™_Cool_Touch_13_Hybrid_Mattress/image_1.jpg', 'images/Purple_RestorePlus™_Cool_Touch_13_Hybrid_Mattress/image_2.jpg']","[$ 3045.99, $ 3345.99, $ 3495.99, $ 4095.99, $ 4095.99]",4.3,387,Medium,"All Sleep Positions, Temperature and Pain",Hybrid,,No,No,No,No,No,No,No,82
Serta Perfect Sleeper® Sleep Excellence™ Extra Firm Mattress,"[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Serta_Perfect_Sleeper®_Sleep_Excellence™_Extra_Firm_Mattress/image_1.jpg', 'images/Serta_Perfect_Sleeper®_Sleep_Excellence™_Extra_Firm_Mattress/image_2.jpg']","[$ 799.99, $ 899.99, $ 979.99, $ 999.99, $ 1299.99, $ 1299.99]",4.3,453,Extra Firm,"Back and Stomach Sleepers, Pain and Toss and Turn",Memory Foam,,No,No,No,No,No,No,No,83
"Serta iSeries® 2.0 Hybrid 2000 12.5"" Firm Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Serta_iSeries®_2.0_Hybrid_2000_12.5_Firm_Mattress/image_1.jpg', 'images/Serta_iSeries®_2.0_Hybrid_2000_12.5_Firm_Mattress/image_2.jpg']","[$ 1699.99, $ 1949.99, $ 1999.99, $ 2499.99, $ 2499.99]",4.4,1156,Firm,Back and Stomach Sleepers,Hybrid,"12.5""",Yes,Yes,Yes,Yes,Yes,No,No,84
